[0.000000] (-) TimerEvent: {}
[0.000645] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000733] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.000762] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000807] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000836] (-) JobUnselected: {'identifier': 'depthimage_to_laserscan'}
[0.000866] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000889] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000912] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000934] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000958] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.000980] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001003] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.001025] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.001046] (-) JobUnselected: {'identifier': 'image_view'}
[0.001069] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001091] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001114] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001137] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001161] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001190] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001212] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001235] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001259] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001280] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001301] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001324] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001346] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.001369] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001390] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.001413] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001434] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001457] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001479] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001501] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001521] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001543] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001565] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.001587] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001611] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.001633] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.001654] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.001674] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001695] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.001717] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001738] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.001760] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.001814] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.001837] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001857] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001878] (-) JobUnselected: {'identifier': 'navigation2'}
[0.001901] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.001921] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.001944] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.001964] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.001986] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.002008] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.002033] (cave_depth) JobQueued: {'identifier': 'cave_depth', 'dependencies': OrderedDict({'depthimage_to_laserscan': '/CaveBot-ros/install/depthimage_to_laserscan', 'image_view': '/CaveBot-ros/install/image_view', 'camera_ros': '/CaveBot-ros/install/camera_ros'})}
[0.002069] (cave_depth) JobStarted: {'identifier': 'cave_depth'}
[0.012818] (cave_depth) JobEnded: {'identifier': 'cave_depth', 'rc': 1}
[0.023241] (-) EventReactorShutdown: {}
