[0.000000] (-) TimerEvent: {}
[0.000274] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000985] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.001023] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001050] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.001077] (-) JobUnselected: {'identifier': 'depthimage_to_laserscan'}
[0.001098] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001123] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001145] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001168] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001203] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.001225] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001248] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.001270] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.001293] (-) JobUnselected: {'identifier': 'image_view'}
[0.001317] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001339] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001361] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001384] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001406] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001435] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001457] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001481] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001502] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001523] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001546] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001568] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001591] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.001614] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001635] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.001656] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001680] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001701] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001724] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001747] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001769] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001789] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001812] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.001833] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001856] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.001877] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.001901] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.001922] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001942] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.001965] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001988] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002010] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002031] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002052] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002073] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002094] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002117] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.002138] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.002161] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.002193] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.002217] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.002238] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.002264] (cave_depth) JobQueued: {'identifier': 'cave_depth', 'dependencies': OrderedDict({'depthimage_to_laserscan': '/CaveBot-ros/install/depthimage_to_laserscan', 'image_view': '/CaveBot-ros/install/image_view', 'camera_ros': '/CaveBot-ros/install/camera_ros'})}
[0.002299] (cave_depth) JobStarted: {'identifier': 'cave_depth'}
[0.020615] (cave_depth) JobEnded: {'identifier': 'cave_depth', 'rc': 1}
[0.031014] (-) EventReactorShutdown: {}
