[0.000000] (-) TimerEvent: {}
[0.000330] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000492] (-) JobUnselected: {'identifier': 'camera_ros'}
[0.000522] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000546] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000575] (-) JobUnselected: {'identifier': 'depthimage_to_laserscan'}
[0.000604] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000628] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000657] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000685] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000710] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.000733] (-) JobUnselected: {'identifier': 'image_proc'}
[0.000756] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.000780] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.000804] (-) JobUnselected: {'identifier': 'image_view'}
[0.000830] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000860] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000885] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.000906] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.000930] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.000959] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.000982] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001006] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001032] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001054] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001076] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001098] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001120] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.001145] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001175] (-) JobUnselected: {'identifier': 'nav2_loopback_sim'}
[0.001198] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001224] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.001248] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001270] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001292] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001313] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001340] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.001362] (-) JobUnselected: {'identifier': 'nav2_route'}
[0.001387] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001411] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.001434] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.001472] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.001497] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001887] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.001923] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001952] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.001978] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002004] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002026] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002048] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002069] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002092] (-) JobUnselected: {'identifier': 'opennav_docking'}
[0.002112] (-) JobUnselected: {'identifier': 'opennav_docking_bt'}
[0.002134] (-) JobUnselected: {'identifier': 'opennav_docking_core'}
[0.002155] (-) JobUnselected: {'identifier': 'slam_toolbox'}
[0.002174] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.002199] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.002232] (cave_depth) JobQueued: {'identifier': 'cave_depth', 'dependencies': OrderedDict({'depthimage_to_laserscan': '/CaveBot-ros/install/depthimage_to_laserscan', 'image_view': '/CaveBot-ros/install/image_view', 'camera_ros': '/CaveBot-ros/install/camera_ros'})}
[0.002286] (cave_depth) JobStarted: {'identifier': 'cave_depth'}
[0.019615] (cave_depth) JobEnded: {'identifier': 'cave_depth', 'rc': 1}
[0.030076] (-) EventReactorShutdown: {}
